name,english_name,operator,power,source,method,wikidata_id,latitude,longitude,municipality,county,country
Junsterforsen,,,30.00 MW,hydro,,,,,,,
Storrun vindpark,Storrun wind farm,Storrun Vindkraft AB,30.00 MW,wind,wind_turbine,Q7620337,63.759,13.588,,,Sweden
Vindpark Hedbodberget,,,30.00 MW,wind,wind_turbine,,,,,,
Vindpark Vänern,,,30.00 MW,wind,wind_turbine,,,,,,
Vittjärvs Kraftstation,,Vattenfall,30.00 MW,hydro,,,,,,,
Juktan Vindkraftpark,,,29.00 MW,wind,,,,,,,
Långmarken,,Eolus Vind AB,26.40 MW,wind,wind_turbine,,,,,,
Hylte vattenkraftverk,,Statkraft Sverige AB,26.00 MW,hydro,,,,,,,
Hyltebruks kraftstation,,,26.00 MW,hydro,,,,,,,
Juktans kraftstation,,,26.00 MW,hydro,,Q18291062,65.2902,17.2301,,,Sweden
Avestaforsen,,Fortum,24.70 MW,hydro,water-storage,,,,,,
Dragaliden,,,24.00 MW,wind,,,,,,,
Granboforsen kraftverk,,Jämtkraft,24.00 MW,hydro,,,,,,,
Gråda kraftverk,,Fortum Generation AB,24.00 MW,hydro,,Q65194586,60.603888888,15.015,Gagnef Municipality,Dalarna County,Sweden
Halvfari,,,24.00 MW,hydro,run-of-the-river,,,,,,
Näs,,Vattenfall,24.00 MW,hydro,water-storage,,,,,,
Oxhult vindpark,,Arise Windfarm 1 AB,24.00 MW,wind,wind_turbine,,,,,,
Åsens kraftverk,,Fortum Generation AB,24.00 MW,hydro,water-storage,Q81045622,61.28249,13.76064,Älvdalen Municipality,Dalarna County,Sweden
Johannes kraftvärmeverk,,Gävle Energi,23.00 MW,biomass,,,,,,,
Kyrkberget,,Jämtkraft,23.00 MW,wind,wind_turbine,,,,,,
Rögle vindpark,,,22.80 MW,wind,wind_turbine,,,,,,
Bösjövarden,,,22.50 MW,wind,,,,,,,
Bösjövardens vindpark,,,22.50 MW,wind,wind_turbine,,,,,,
Fröslida,,Arise Windfarm 3 AB,22.50 MW,wind,wind_turbine,,,,,,
Uddared vindpark,,Uddared Energi Aktiebolag,22.50 MW,wind,wind_turbine,,,,,,
Avesta Lillforsen,,Fortum,22.00 MW,hydro,water-storage,,,,,,
Domnarvets kraftverk,,Fortum Generation AB,22.00 MW,hydro,,Q81054560,60.49546,15.45446,,,Sweden
Domnarvets kraftverk,,,22.00 MW,hydro,water-storage,Q81054560,60.49546,15.45446,,,Sweden
Gäddede kraftverk,,Statkraft;Holmen Energi,22.00 MW,hydro,water-storage,,,,,,
Mässingbergets vindpark,,,22.00 MW,wind,wind_turbine,,,,,,
Rämsbergets vindpark,,OX2,21.00 MW,wind,wind_turbine,,,,,,
Knäred vindpark,,RWE Renewables Sweden AB,20.00 MW,wind,wind_turbine,,,,,,
Söderfors,,Vattenfall,20.00 MW,hydro,water-storage,,,,,,
[unnamed],,,19.00 MW,solar,photovoltaic,,,,,,
Yngeredsfors kraftverk,,,18.80 MW,hydro,water-storage,,,,,,
Gunnarby,,,18.40 MW,wind,wind_turbine,,,,,,
Martin & Servera solpark,,Alight,18.00 MW,solar,photovoltaic,,,,,,
Örken,,RWE Renewables Sweden AB,18.00 MW,wind,wind_turbine,,,,,,
Kåphult Vindkraftpark,,Arise Windfarm 1 AB,17.50 MW,wind,wind_turbine,,,,,,
Rottnens kraftverk,,Fortum,17.00 MW,hydro,run-of-the-river,,,,,,
Röbergsfjällets vindpark,,,16.00 MW,wind,wind_turbine,,,,,,
Vindpark Säliträdberget,,,16.00 MW,wind,wind_turbine,,,,,,
Henja solpark,,Sunna Group,15.50 MW,solar,photovoltaic,,,,,,
Avesta Storforsen,,Fortum,15.00 MW,hydro,water-storage,Q11959776,,,,,
Blybergs kraftverk,,,15.00 MW,hydro,water-storage,Q81049473,,,,,
Traryd kraftverk,,,15.00 MW,hydro,,,,,,,
