name,english_name,operator,power,source,method,wikidata_id,latitude,longitude,municipality,county,country
Ulset kraftverk,,Trønderenergi Kraft,35.00 MW,hydro,water-storage,Q12008329,62.61872,10.25454,Tynset Municipality,Innlandet,Norway
Vrangfoss kraftverk,,Statkraft,35.00 MW,hydro,run-of-the-river,Q12010133,59.30206,9.2047,Nome Municipality,Telemark,Norway
Grøa kraftverk,,Nordmøre Energiverk,34.70 MW,hydro,run-of-the-river,Q11973042,62.64334,8.73401,Sunndal Municipality,Møre og Romsdal,Norway
Jøssang kraftverk,,,34.00 MW,hydro,water-storage,Q19376679,59.00029,6.07503,Strand Municipality,Rogaland,Norway
Haram vindkraftverk,,,33.60 MW,wind,,,,,,,
Vittingfoss kraftverk,,Ringerikskraft produksjon,33.50 MW,hydro,run-of-the-river,Q12010003,59.474166666,10.005555555,Kongsberg,Buskerud,Norway
Bingsfoss kraftverk,,Glomma Kraftproduksjon,33.00 MW,hydro,run-of-the-river,Q17750389,59.99003,11.2648,Lillestrøm Municipality,Akershus,Norway
Dynjanfoss kraftverk,,Å Energi Vannkraft,33.00 MW,hydro,water-storage,Q11966238,58.95158,8.39528,Nissedal,Telemark,Norway
Hegsetfoss kraftverk,,Statkraft,33.00 MW,hydro,water-storage,Q11974661,63.16534,11.23072,Selbu Municipality,Trøndelag,Norway
Mågeli kraftverk,,Statkraft,33.00 MW,hydro,water-storage,Q11990371,60.13307,6.62892,Ullensvang Municipality,Vestland,Norway
Skjåk kraftverk,,Hafslund Kraft,33.00 MW,hydro,water-storage,Q11218795,61.89921,8.22728,Skjåk Municipality,Innlandet,Norway
Smibelg kraftverk,,Helgeland Kraft Vannkraft,33.00 MW,hydro,water-storage,Q112233718,66.46053,13.34654,Rødøy Municipality,Nordland,Norway
Nygårdsfjellet vindpark,,Nordkraft,32.20 MW,wind,,,,,,,
Grønvollfoss kraftverk,,Skagerak kraft,32.00 MW,hydro,run-of-the-river,Q11973093,59.65838,9.20826,Notodden Municipality,Telemark,Norway
Herva kraftverk,,Norsk Hydro,32.00 MW,hydro,water-pumped-storage,Q11975232,61.56622,7.86239,Luster Municipality,Vestland,Norway
Laudal kraftverk,,Å Energi Vannkraft,32.00 MW,hydro,water-storage,Q19379052,58.24498,7.5141,Lindesnes Municipality,Agder,Norway
Åmela kraftverk,,Tussa,32.00 MW,hydro,water-storage,Q12011516,62.01862,5.84717,Volda Municipality,Møre og Romsdal,Norway
Hellandsfoss kraftverk,,Eviny Fornybar,31.50 MW,hydro,run-of-the-river,Q11974860,60.83049,5.88125,Modalen Municipality,Vestland,Norway
Hafslund kraftstasjon,,Hafslund Kraft,31.00 MW,hydro,,Q11973627,59.275,11.12951,Sarpsborg Municipality,Viken,Norway
Tunnsjø kraftverk,,NTE Energi,31.00 MW,hydro,water-storage,Q12007875,64.69385,13.63821,Lierne Municipality,Trøndelag,Norway
Vardafjellet vindkraftverk,,RES,30.10 MW,wind,,Q106947269,58.83588,5.898559,Sandnes Municipality,Rogaland,Norway
Båtsvatn kraftverk,,Statkraft,30.00 MW,hydro,water-storage,Q11157069,68.09358,17.7197,Narvik,Narvik Municipality,Norway
Daja Kraftverk,,Salten Kraftsamband Produksjon,30.00 MW,hydro,water-storage,Q11157091,67.08824,16.05687,Fauske Municipality,Nordland,Norway
Eikelandsosen kraftverk,,Sunnhordland Kraftlag,30.00 MW,hydro,water-storage,Q17769321,60.24856,5.73822,Bjørnafjorden Municipality,Vestland,Norway
Gravfoss II kraftverk,,Å Energi Vannkraft,30.00 MW,hydro,run-of-the-river,Q17778375,59.9294,9.94646,Modum Municipality,Buskerud,Norway
Hodnaberg kraftverk,,Voss Energi,30.00 MW,hydro,water-storage,Q19374501,60.55796,6.21117,Voss,Vestland,Norway
Håen kraftverk,,Trønderenergi Kraft,30.00 MW,hydro,water-storage,Q19375094,63.11816,10.470389,Melhus Municipality,Trøndelag,Norway
Lakshola kraftverk,,Siso Energi,30.00 MW,hydro,water-storage,Q11111585,67.44818,15.75045,Sørfold Municipality,Nordland,Norway
Moflåt kraftverk,,Hydro Energi,30.00 MW,hydro,run-of-the-river,Q11989755,59.88336,8.68372,Tinn,Telemark,Norway
Ramfoss kraftstasjon,,Kraftia Tjenester,30.00 MW,hydro,water-storage,Q11997034,60.0825,9.815555555,Modum Municipality,Buskerud,Norway
Sokna kraftverk,,Trønderenergi Kraft,30.00 MW,hydro,water-storage,Q12001758,63.148647,10.316226,Melhus Municipality,Trøndelag,Norway
Stigafjellet vindpark,,Eolus Vind,30.00 MW,wind,,,,,,,
Aunfoss kraftverk,,NTE Energi,29.50 MW,hydro,run-of-the-river,Q17749549,64.61007,12.57804,Grong Municipality,Trøndelag,Norway
Tafjord 2 kraftverk,,Tafjord Kraftproduksjon,29.50 MW,hydro,water-storage,Q12005051,62.21002,7.44533,Fjord Municipality,Møre og Romsdal,Norway
Løpet kraftverk,,Hafslund Kraft,28.20 MW,hydro,run-of-the-river,Q11987292,61.16381,11.45655,Åmot Municipality,Innlandet,Norway
Nomeland kraftstasjon,,Å Energi Vannkraft,28.00 MW,hydro,run-of-the-river,Q11991647,58.356672,7.90447,Iveland Municipality,Agder,Norway
Øksenelvane kraftverk,,Sogn og Fjordane Energi,28.00 MW,hydro,water-storage,Q19399278,61.84183,5.80134,Bremanger Municipality,Vestland,Norway
Glomfjord & Fykanvatnet kraftverk,,Statkraft AS,27.50 MW,hydro,water-storage,Q26256473,66.79682,14.00065,Meløy,Nordland,Norway
Hofsfoss kraftverk,,Å Energi Vannkraft,27.00 MW,hydro,run-of-the-river,Q11975592,60.18848,10.23822,Ringerike,Buskerud,Norway
Svean kraftverk,,Statkraft,27.00 MW,hydro,water-storage,Q19391278,63.27933,10.47278,Trondheim municipality,Trøndelag,Norway
Govddesåga kraftverk,,Salten Kraftsamband Produksjon,26.80 MW,hydro,run-of-the-river,Q25431054,66.92406,14.38883,Beiarn Municipality,Nordland,Norway
Tokagjelet kraftverk,,Nordkraft Energidrift,26.50 MW,hydro,run-of-the-river,Q115283654,60.36,6.05658,Kvam Municipality,Vestland,Norway
Hol II kraftverk,,Hafslund Kraft,26.00 MW,hydro,run-of-the-river,Q11975615,60.61178,8.26552,Hol Municipality,Buskerud,Norway
Hønefoss krafstasjon II,,Ringeriks-Kraft,26.00 MW,hydro,run-of-the-river,Q19370902,60.17,10.254166666,Ringerike,Buskerud,Norway
Stordal kraftverk,,Eviny Fornybar,26.00 MW,hydro,water-storage,Q19390637,60.9606,5.70238,Høyanger Municipality,Vestland,Norway
Vigelandsfoss kraftverk,,Norsk Hydro,26.00 MW,hydro,run-of-the-river,Q19398058,58.25352,7.95859,Vennesla,Agder,Norway
Dividalen kraftverk,,Troms Kraft Produksjon,25.70 MW,hydro,water-storage,Q11965793,68.87414,19.56073,Målselv,Troms,Norway
Storåselva kraftverk,,NTE Energi,25.50 MW,hydro,run-of-the-river,Q56408405,64.27963,12.61699,Snåsa,Trøndelag,Norway
Mehuken Vindpark,,Kvalheim Kraft,25.30 MW,wind,,Q11988902,,,,,
Svåheia vindkraftverk,,Dalane Vind,25.20 MW,wind,,,,,,,
Evenstad kraftverk,,Å Energi Vannkraft,25.00 MW,hydro,run-of-the-river,Q11968192,58.5431,8.67383,Froland Municipality,Agder,Norway
Fosse kraftverk,,Eviny Fornybar,25.00 MW,hydro,water-storage,Q17773587,60.58177,5.88682,Vaksdal Municipality,Vestland,Norway
Holmen kraftverk,,Holmen Kraft,25.00 MW,hydro,run-of-the-river,Q26256460,60.84947,6.72379,Aurland Municipality,Vestland,Norway
Nedalsfoss kraftverk,,Statkraft,25.00 MW,hydro,water-storage,Q19382656,62.95589,12.09634,Tydal Municipality,Trøndelag,Norway
Nygård kraftverk,,Nordkraft Energidrift,25.00 MW,hydro,water-storage,Q7071090,68.47583333,17.62583333,Narvik Municipality,Nordland,Norway
Rekvatn kraftverk,,Nord-Salten Kraft,25.00 MW,hydro,water-storage,Q11110712,67.82422,15.99388,Hamarøy Municipality,Nordland,Norway
Strandfossen kraftverk,,Hafslund Kraft,25.00 MW,hydro,run-of-the-river,Q19390863,60.90928,11.52582,Elverum Municipality,Innlandet,Norway
Svorka kraftverk,,Statkraft,25.00 MW,hydro,water-storage,Q12004454,63.03875,8.65562,Surnadal Municipality,Møre og Romsdal,Norway
Tafjord 1 kraftverk,,Tafjord Kraftproduksjon,25.00 MW,hydro,water-storage,Q19391841,62.2264,7.42136,Fjord Municipality,Møre og Romsdal,Norway
Frøland kraftverk,,Eviny Fornybar,24.90 MW,hydro,water-storage,Q14404721,60.38466,5.80637,Samnanger,Vestland,Norway
Høgefoss kraftverk,,Å Energi Vannkraft,24.90 MW,hydro,water-storage,Q19375167,58.95183,8.51656,Nissedal,Telemark,Norway
Skarg kraftverk,,Otra Kraft DA,24.60 MW,hydro,water-storage,Q19388726,59.35026,7.29516,Bykle Municipality,Agder,Norway
Åmli kraftverk,,Å Energi Vannkraft,24.20 MW,hydro,run-of-the-river,,,,,,
Kaldestad krafverk,,Eviny Fornybar,24.00 MW,hydro,water-storage,Q11979936,60.55453,6.0227,Vaksdal Municipality,Vestland,Norway
Skotfoss kraftverk,,Akershus Energi,24.00 MW,hydro,run-of-the-river,Q12001183,59.20703,9.5306,Skien,Telemark,Norway
Smeland kraftstasjon,,Å Energi Vannkraft,24.00 MW,hydro,water-storage,Q19389354,58.66708,7.45061,Åseral Municipality,Agder,Norway
Herand kraftverk,,Herand Kraft,23.70 MW,hydro,run-of-the-river,Q106860464,60.34672,6.40404,Ullensvang Municipality,Vestland,Norway
Finså kraftverk,,Å Energi Vannkraft,23.00 MW,hydro,water-storage,Q17772368,58.66011,6.69867,Sirdal,Agder,Norway
Ringedalen kraftverk,,Statkraft,23.00 MW,hydro,water-storage,Q37298624,60.12209,6.62727,Ullensvang Municipality,Vestland,Norway
Nye Verma kraftverk,,Rauma Energi Produksjon,22.50 MW,hydro,run-of-the-river,Q65234475,62.346111111,8.049722222,Rauma Municipality,Møre og Romsdal,Norway
Hanefoss kraftverk,,Å Energi Vannkraft,22.00 MW,hydro,water-storage,Q11973897,58.52941,8.33765,Birkenes,Agder,Norway
Melkefoss kraftverk,,Pasvik Kraft,22.00 MW,hydro,run-of-the-river,Q1792497,69.39944,29.78761,Sør-Varanger Municipality,Finnmark,Norway
Målset kraftverk,,Statkraft,22.00 MW,hydro,water-storage,Q19382152,60.97869,6.51601,Vik Municipality,Vestland,Norway
"Svelgen III, Indrehus kraftverk",,Svelgen Kraft,22.00 MW,hydro,water-storage,Q19391311,61.71674,5.23615,Bremanger Municipality,Vestland,Norway
Tafjord 3 kraftverk,,Tafjord Kraftproduksjon,22.00 MW,hydro,water-storage,Q12005049,62.15195,7.43506,Fjord Municipality,Møre og Romsdal,Norway
Årlifoss kraftverk,,Skagerak kraft,22.00 MW,hydro,run-of-the-river,Q12011595,59.68594,9.14267,Notodden Municipality,Telemark,Norway
