name,english_name,operator,power,source,method,wikidata_id,latitude,longitude,municipality,county,country
Kaltimon voimalaitos,,UPM-Kymmene,32.00 MW,hydro,,,,,,,
Suosiolan voimalaitos,,Neve,32.00 MW,biomass,combustion,,,,,,
Kivivaara-Peuravaaran tuulivoimapuisto 1,,Taaleri Energia,30.00 MW,wind,wind_turbine,Q128504501,64.68608,28.65573,Hyrynsalmi,Kainuu,Finland
Pajukoski I,,,30.00 MW,wind,,,,,,,
Ribäcken vindpark,Ribäcken wind farm,Ribäcken Vindpark,30.00 MW,wind,wind_turbine,,,,,,
Varevaaran tuulivoimapuisto,Varevaara Wind Farm,Tervola Varevaara Tuuli,30.00 MW,wind,wind_turbine,Q124334592,66.14191,24.87778,Tervola,Lappland,Finland
[unnamed],,Kokkolan Energia,30.00 MW,biomass,,,,,,,
Mörknässkogens vindkraftspark,,OX2 Finland,29.50 MW,wind,wind_turbine,Q126327334,63.27887,22.51336,Vörå,Ostrobothnia,Finland
Kuusankosken voimalaitos,,UPM,29.40 MW,hydro,run-of-the-river,Q18660337,60.907222,26.648889,Kouvola,Kymenlaakso,Finland
Storbackens vindkraftspark,,OX2 Finland,29.40 MW,wind,wind_turbine,Q131164657,63.29761,22.46322,Vörå,Ostrobothnia,Finland
Helen Aurinkopuisto Kalanti Oy alue 3,,,28.00 MW,solar,photovoltaic,,,,,,
Ahvenkosken vesivoimalaitos,,Helen Oy,27.00 MW,hydro,run-of-the-river,Q11850002,60.493972,26.45125,Pyhtää,Uusimaa,Finland
Kurkiaskan voimalaitos,,Kemijoki Oy,27.00 MW,hydro,water-storage,,,,,,
Limakon tuulivoimapuisto,,Taaleri Energia,27.00 MW,wind,wind_turbine,Q129254527,63.21772,24.48551,Perho,Central Ostrobothnia,Finland
Mankalan voimalaitos,,Helen,27.00 MW,hydro,run-of-the-river,Q11880762,60.92633333,26.26916667,Iitti,Päijät-Häme,Finland
Ratiperän tuulipuisto,,ABO Wind Oy,27.00 MW,wind,,,,,,,
Siikainen Jäneskeidas,,Gigawatti Oy,26.00 MW,wind,,,,,,,
Jumiskon voimalaitos,,Pohjolan Voima Oyj,25.80 MW,hydro,water-pumped-storage,Q18659554,66.51,27.78,Kemijärvi,Lappland,Finland
Kokkosnivan voimalaitos,,Kemijoki Oy,25.00 MW,hydro,water-storage,,,,,,
